Bee1	Bee2	Bee3	Bee4	Bee5	Bee6	Bee7	Bee8	Bee9	Bee10	Bee11	Bee12	Bee13	Bee14	Bee15	Bee16	Bee17	Bee18
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	True
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	True
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	True
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	True
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	True
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	True
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	True
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	True
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	True
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	True
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	True
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	True
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	True
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	True
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
True	True	False	False	False	False	True	True	True	True	True	True	False	False	False	False	True	False
